date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:18:37	6309/6309	---MC-	200	added ('OK')	text/html	etag:ccb544c7fa1ff788361cd14097c4e05b	http://schreibgewandt.ch/schreibservice/	/root/tests/schreibgewandt/schreibgewandt.ch/schreibservice/index.html	(from http://schreibgewandt.ch/)
19:18:37	6652/6652	---MC-	200	added ('OK')	text/html	etag:e0eb61a6d2766d4a460e1d76b2365bf9	http://schreibgewandt.ch/biografien/	/root/tests/schreibgewandt/schreibgewandt.ch/biografien/index.html	(from http://schreibgewandt.ch/)
19:18:38	6028/6028	---MC-	200	added ('OK')	text/html	etag:87ba822072fc86a6bdefa653957f23bf	http://schreibgewandt.ch/firmenauftritt/	/root/tests/schreibgewandt/schreibgewandt.ch/firmenauftritt/index.html	(from http://schreibgewandt.ch/)
19:18:38	15104/15104	---M--	200	added ('OK')	text/css	etag:%22603be8-3b00-47eb3c4fcf300%22	http://schreibgewandt.ch/cms/css/schreibservice.css	/root/tests/schreibgewandt/schreibgewandt.ch/cms/css/schreibservice.css	(from http://schreibgewandt.ch/)
19:18:39	5818/5818	---MC-	200	added ('OK')	text/html	etag:381ab52368f847f9dbbd8a48439722e5	http://schreibgewandt.ch/kurse/	/root/tests/schreibgewandt/schreibgewandt.ch/kurse/index.html	(from http://schreibgewandt.ch/)
19:18:39	5465/5465	---MC-	200	added ('OK')	text/html	etag:43abaa554a5662da00df4ff917125791	http://schreibgewandt.ch/eva-kuhn/	/root/tests/schreibgewandt/schreibgewandt.ch/eva-kuhn/index.html	(from http://schreibgewandt.ch/)
19:18:39	14255/14255	---M--	200	added ('OK')	text/css	etag:%22603bd4-37af-47d0c9911c200%22	http://schreibgewandt.ch/cms/css/contenido.css	/root/tests/schreibgewandt/schreibgewandt.ch/cms/css/contenido.css	(from http://schreibgewandt.ch/)
19:18:41	25557/25557	---M--	200	added ('OK')	image/png	etag:%22603b67-63d5-47eb340c8f480%22	http://schreibgewandt.ch/cms/images/background_m2_schreibs.png	/root/tests/schreibgewandt/schreibgewandt.ch/cms/images/background_m2_schreibs.png	(from http://schreibgewandt.ch/)
19:18:42	7111/7111	---MC-	200	added ('OK')	text/html	etag:84a812abe87d75b874492704e7a15ceb	http://schreibgewandt.ch/kontaktaufnahme/	/root/tests/schreibgewandt/schreibgewandt.ch/kontaktaufnahme/index.html	(from http://schreibgewandt.ch/)
19:18:44	6484/6484	---MC-	200	added ('OK')	text/html	etag:5884d5a7a8ecbc841246e01ac2b70e7e	http://schreibgewandt.ch/schreibservice/leseproben/	/root/tests/schreibgewandt/schreibgewandt.ch/schreibservice/leseproben/index.html	(from http://schreibgewandt.ch/schreibservice/)
